home_links	home_links-href	cante_name
Pessoa flamenco	http://canteytoque.es/letrasvicentesotopessoa.html	vals
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	La otra casa. Manuel Mairena
disco 9	http://canteytoque.es/letrasvvantologiaariola9.html	Al empezar la caló (tientos) Turronero
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	Por mi puerta. Niño del Solano
Chocolate con Niño Ricardo	http://canteytoque.es/letraschocolatericardo.html	Esto que me está pasando (martinete)
CD 8	http://canteytoque.es/letraspastora08.html	1. Cuando yo miro (tango-rumba)
Cante flamenco (volumen 1)	http://canteytoque.es/letrasfernandaybernardacanteflamenco1.html	Bulerías. Fernanda y Bernarda
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	La mejor cantaora (bulerías) Manuel Agujetas
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	"Soleares de Triana, Iyanda y la Serneta"
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Yo no lo puedo olvidar (malagueña) Chaquetón
disco 6	http://canteytoque.es/letrasvvantologiaariola6.html	Al pie de un pocito seco (peteneras) Pericón de Cádiz
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Siempre por los rincones (seguiriya) el Funi
Grandes cantaores del flamenco	http://canteytoque.es/letrasromerograndes.html	Soy calé de nacimiento (debla)
Viejo cante jondo	http://canteytoque.es/letrasmagujetajondo.html	Siguiriyas de la mala suerte
Grandes cantaores del flamenco	http://canteytoque.es/letrasromerograndes.html	"Aquel que tiene tres viñas (caña, macho y soleá)"
"Antología de cantaores flamencos. Vol. 25 (Agujetas Viejo, Garbanzo y Salmonete)"	http://canteytoque.es/letrasvvagujetaviejogarbanzosalmonete.html	Pon tu cabeza en mi pecho (bulería por soleá) el Salmonete
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	En un verde prado (alboreá de Jaen)
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Cantiñas
Cátedra del cante vol. 41	http://canteytoque.es/letrasislanino.html	Siempre por los rincones (seguiriya) Niño Medina
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Tierra de morería (soleares) tía Anica la Periñaca
"¡Flamenco! ""Marqués de Porrina"""	http://canteytoque.es/letrasporrina.html	"Yo no te obligo, serrana (caña)"
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Martinete
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Si sientes sonar campanas (soleá) Chaquetón
disco 7	http://canteytoque.es/letrasvvantologiaariola7.html	Por cisco a la fundición (martinetes) Beni de Cádiz
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Pícara tontona (tientos)
disco 9	http://canteytoque.es/letrasvvantologiaariola9.html	A los pies de un soberano (cartagenera) Juan Peña el Lebrijano
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Todos mis hijos (alegrías)
El cante gitano del Chocolate	http://canteytoque.es/letraschocolatecantegitano.html	Por aquella ventana (seguiriyas)
CD 4	http://canteytoque.es/letraspastora04.html	11. Que y en el árbol de la cruz (taranta)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Tangos-tientos. Paquera de Jerez
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	No me acuerdo si te quise (bulerías) Agujetas Viejo
"Potaje gitano en Utrera (con Fernanda, Bernarda, Pepa, Perrate y Paco Valdepeñas)"	http://canteytoque.es/letrasvvpotajeutrera.html	Le pido a Dios (soleares) Fernanda de Utrera
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Tango gitano (Rafael Romero)
CD 12	http://canteytoque.es/letraspastora12.html	8. En una esquina me dijo (bulería)
Le chant du monde v. 1	http://canteytoque.es/letrasmatronachant.html	Saeta
"Cantes primitivos sin guitarra (A. Cepillo, Negro, Medrano, Jeroma, Lebrijano, P. de la Isla)"	http://canteytoque.es/letrasritocantesprimitivos.html	Romance de la Infanta vengada o Nana de Alejandría (Alonso el del Cepillo)
Primer disco	http://canteytoque.es/letrasrancapino1.html	Bajé de nuevo a la mina (minera)
disco 5	http://canteytoque.es/letrasvvantologiaariola5.html	Toda la noche en el balcón (malagueñas) Fernando Terremoto
"Soleares (I) (Mairena, E. Paula, Perrate, Fernanda y Lebrijano)"	http://canteytoque.es/letrasritosolea1.html	Soleares de Triana (Antonio Mairena)
Sonakay	http://canteytoque.es/letrasrevuelo.html	Sevilla en fiestas (bulerías)
CD 12	http://canteytoque.es/letraspastora12.html	9. Donde hay un sabio que explique (bulería)
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	Quisiera yo renegar (petenera) Niña de los Peines
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	Tú la joya y yo el joyero (taranta) Cobitos
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	Jaleo extremeño
"La cantaora (Pastora, Perrata, Rosalía, C. Montoya y Sabina)"	http://canteytoque.es/letrasritocantaora.html	Tangos (Carmen Montoya)
El querer no se puede ocultar	http://canteytoque.es/letrasmagujetaquerer.html	Más calmao (soleares)
Por tangos y tientos	http://canteytoque.es/letrasvvportangosytientos.html	Si te publico me pierdo (tangos) Fernanda de Utrera
Antonio Mairena	http://canteytoque.es/letrasritoantoniomairena.html	Soleares de Alcalá
Gitanas de Utrera por bulerías	http://canteytoque.es/letrasvvgitanasdeutrera.html	Por mi nombre. Pepa la de Dolores
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Fandanguillo de Lucena
"Cantes flamencos importados (Chorbos, Chano, A. Álora, S. Bracamonte, A. Canillas, Marchena y Herraor)"	http://canteytoque.es/letrasritocantesimportados.html	Guajira (Soledad Bracamonte)
Grandes cantaores del flamenco	http://canteytoque.es/letraschatodelaisla.html	Yo no sé lo que daría (alegrías)
Evocación a Terremoto. Manuel Morao y gitanos de Jerez	http://canteytoque.es/letrasvvevocacionaterremoto.html	Ronda de martinetes
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Doce galanes (soleá) Manuel Agujetas
"Evolución del cante (Chozas, Funi, Menese y Morente)"	http://canteytoque.es/letrasritoevolucion.html	Seguiriyas (Enrique Morente)
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Como un loco me salí (soleá por bulerías) el Funi
CD 1	http://canteytoque.es/letraspastora01.html	1. De noche y día (cartagenera y fandango de Lucena)
Sus primeras grabaciones	http://canteytoque.es/letrasfernandaybernardasusprimeras.html	Mal fin tiene la persona (soleares) Fernanda
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Tientos moros (zambra)
CD 3	http://canteytoque.es/letrasantologiaorfeon3.html	"Bulerías gitanas. Antonio Marco ""el Trianero"""
CD 6	http://canteytoque.es/letraspastora06.html	13. Pintor de loza (sevillana)
disco 3	http://canteytoque.es/letrasvvantologiaariola3.html	Cuando te veo venir (tangos) Fernando Terremoto
Le chant du monde v. 1	http://canteytoque.es/letrasmatronachant.html	Seguiriya
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Alegrías de Cádiz
Premio Manuel Torre de cante flamenco	http://canteytoque.es/letrasmagujetapremio.html	Fandangos de la cruz
Curro Malena	http://canteytoque.es/letraspuroyjondocurromalena.html	Soleá
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Cantes gitanos. Orillo de Chiclana
Auténtica	http://canteytoque.es/letrasburra.html	Bulerías
Fiesta en Andalucía la Baja	http://canteytoque.es/letrasvvfiestaenandalucialabaja.html	Más te quisiera (bulerías) La Periñaca
Santiago Donday	http://canteytoque.es/letraspuroyjondodonday.html	Alegrías
La plazuela de los Moneo	http://canteytoque.es/letrasvvfamiliamoneo.html	Soleá de tío Pacote
Grandes cantaores del flamenco	http://canteytoque.es/letrasmairenagrandes.html	La mulilla (bulerías)
"Cante flamenco gitano (Gaspar, R. Romero, Donday, Cristobalina y Turronero)"	http://canteytoque.es/letrasritocantegitano.html	Farruca (Rafael Romero)
Naturaleza flamenca (Quejío) 1	http://canteytoque.es/letrasmatronaquejio1.html	No pierdas la esperanza (siguiriya de Frasco el Colorado y Cagancho)
"En ""ca"" Fernando de la Morena"	http://canteytoque.es/letrasfernandomorena.html	Eugenia de Montijo
Flamenco vivo	http://canteytoque.es/letrascamaronflamencovivo.html	Chiquito de camas (fandangos)
Maestros del cante	http://canteytoque.es/letrasmanolovargas.html	¿Dónde estás metida? (soleares)
Tía Anica la Periñaca	http://canteytoque.es/letrasritoperinaca.html	Bulerías
Cátedra del cante vol. 34	http://canteytoque.es/letrasrequejo.html	Los pícaros tartaneros (cartagenera) La Trinitaria
"El fandango (A. de Pura, S. Salguero, A. de Álora, Sordera, Sabina y Bengala)"	http://canteytoque.es/letrasritofandango.html	Fandango cané de Alosno (varios)
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	Romance de la reina Juana (bulerías - canción) Bernarda
disco 4	http://canteytoque.es/letrasvvantologiaariola4.html	A mí me da sentimiento (malagueña) Antonio Mairena
CD 4	http://canteytoque.es/letrasantologiaorfeon4.html	Granaína. Bernardo el de los Lobitos
Grandes cantaores del flamenco	http://canteytoque.es/letrasmairenagrandes.html	En Santa Ana (tangos de Triana)
Manolo Caracol (II)	http://canteytoque.es/letrasritocaracol2.html	Compañera de mi alma
Cantes inéditos(CD 1)	http://canteytoque.es/letrasfernandaybernardacantesineditos1.html	Fandangos
Arte flamenco. Pericón de Cádiz / Chato de La Isla	http://canteytoque.es/letrasvvpericonchato.html	Pregúntale a Dios (soleá)
disco 7	http://canteytoque.es/letrasvvantologiaariola7.html	Qué desgraciadito fuiste (alegrías y cantiñas) Manuel Agujetas
Grandes cantaores del flamenco	http://canteytoque.es/letraschatodelaisla.html	Tu madre dice que sí (tangos)
CD 1	http://canteytoque.es/letrasantologiaorfeon1.html	Tientos/tangos. Manolo Caracol
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	La enfermedad de quererte (bulerías) Antonio Nuñez el Chocolate
Chocolate	http://canteytoque.es/letrasritochocolate.html	Siguiriyas
Arte flamenco. Pericón de Cádiz / Chato de La Isla	http://canteytoque.es/letrasvvpericonchato.html	Debajo de tu ventana (bulerías)
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	La Virgen va caminando (tangos) Joselero
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	El mirabrás. Antonio Mairena
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	Qué bonita está la fuente (alegrías) Pericón de Cádiz
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Soleá. José Salazar
"De Ronda a Málaga (Panda Poveda, P. Lavado y M. Chicano, A. Ranchal, Fosforito y A. Canillas)"	http://canteytoque.es/letrasritorondaamalaga.html	Cante de jabegotes (Antonio de Canillas)
Cante gitano	http://canteytoque.es/letrascurromalena.html	Bulerías
Cátedra del cante vol. 16	http://canteytoque.es/letrascojohuelva.html	Que al verme no me hagas caso (fandangos)
Bulerías	http://canteytoque.es/letraspansecobulerias.html	Bulerías a Joselito
El cante de Fernanda y Bernarda de Utrera	http://canteytoque.es/letrasfernandaybernardaelcantede.html	Con mi sangre te curas (fandangos)
Canela de San Roque	http://canteytoque.es/letraspuroyjondocanela.html	Bulería por soleá
"Fiesta gitana por tangos (C. Montoya, V. Peña, Calzones, A. de Álora, Camarón y Funi)"	http://canteytoque.es/letrasritofiestatango.html	Ángel de Álora
Archivo de flamenco	http://canteytoque.es/letrasterremotoarchivo.html	No me mires malamente (bulerías)
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Estando cojiendo piñas (verdiales) Cojo de Málaga
Cátedra del cante vol. 16	http://canteytoque.es/letrascojohuelva.html	En El Toril me crié (fandangos)
Manolo Caracol (I)	http://canteytoque.es/letrasritocaracol1.html	Fandangos
Cante flamenco (volumen 1)	http://canteytoque.es/letrasfernandaybernardacanteflamenco1.html	Bulerías. Fernanda y Bernarda
Maestros del cante	http://canteytoque.es/letrasvarea.html	Una pena impertinente (cartagenera)
"Las tonás (Talega, Mairena, Agujetas y Borrico, R. Romero y Menese)"	http://canteytoque.es/letrasritotonas.html	Ronda de martinetes (Manuel Agujetas y tío Borrico)
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Una limosna (saeta) Manuel Agujetas
CD 11	http://canteytoque.es/letraspastora11.html	15. Del mundo leguas y leguas (alegría)
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Bulerías
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Y de flores coronarte (soleá) el Funi
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Fandangos naturales. Ramón Moreno
CD 9	http://canteytoque.es/letraspastora09.html	12. Yo no te he dado motivo (tiento)
CD 13	http://canteytoque.es/letraspastora13.html	10. Tu cara en la mía se vio (fandango)
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Cartageneras nº 2
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	De mi vera te fuiste (siguiriyas)
Pepe de la Matrona	http://canteytoque.es/letrasritopepematrona.html	"La caña, el polo y el macho"
Cuando canta el pasado	http://canteytoque.es/letrasvicentesotocuandocantaelpasado.html	Decir del solitario (soleá por bulerías)
Cante gitano	http://canteytoque.es/letrascurromalena.html	Garrotín
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	El Polo. Naranjito de Triana
CD 2	http://canteytoque.es/letraspastora02.html	5. Y a la derecha te inclinas (cartagenera y taranto)
Qué nos queda	http://canteytoque.es/letrasvvquenosqueda.html	Corrococo (bulerías)
Así soy yo	http://canteytoque.es/letrassusiasisoyyo.html	Me tiene sin cuidado (minera)
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Fandango de Almería (Rafael Romero)
Manolo Caracol (I)	http://canteytoque.es/letrasritocaracol1.html	Seguiriyas
Raíces del cante	http://canteytoque.es/letrasavila.html	Hay penas que no se dicen (soleá-bulerías)
Con sabor a cuarto	http://canteytoque.es/letraschanosaboracuarto.html	"Bulería (""Ar gorpe"")"
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de Alosno (Paco Toronjo)
Pansequito	http://canteytoque.es/letraspuroyjondopanseco.html	Fandangos
Chano Lobato (CD1)	http://canteytoque.es/letraschano1.html	Gaditana tierra guapa (alegrías de Cádiz)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Tonás. Manuel Gómez Segovia
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Martinete
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Bulerías
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Desgraciado aquel que come (martinetes)
Rubichis	http://canteytoque.es/letrasdiegorubichi.html	Soleares
Manuel Moneo	http://canteytoque.es/letraspuroyjondomoneo.html	Seguiriyas
Verea del camino	http://canteytoque.es/letrasvicentesotoverea.html	Rompecerones (bulerías)
Naturaleza flamenca (Quejío) 2	http://canteytoque.es/letrasmatronaquejio2.html	Alta pena tiene (mirabrás)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	"De Cádiz a Triana (marianas) Encarnación Marín ""la Sayago"""
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Cuando yo me muera (siguiriyas)
CD 2	http://canteytoque.es/letraspastora02.html	8. Que estando de centinela (garrotín)
Naturaleza flamenca (Quejío) 1	http://canteytoque.es/letrasmatronaquejio1.html	Yo me lleno de regocijo (soleares de Triana)
Con sabor a cuarto	http://canteytoque.es/letraschanosaboracuarto.html	Malagueñas
Arroyuelo	http://canteytoque.es/letrasantoniomalena.html	Dios que me la lleve
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	En el querer no hay venganza (caña) el Tenazas
Fiesta en Andalucía la Baja	http://canteytoque.es/letrasvvfiestaenandalucialabaja.html	Mi querer (fiesta por bulerías)
CD 4	http://canteytoque.es/letraspastora04.html	1. Porque tiro a la barrena (cartagenera)
Jesús Heredia	http://canteytoque.es/letraspuroyjondojesusheredia.html	Malagueña
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Bulerías
Juana la del Revuelo	http://canteytoque.es/letraspuroyjondojuanarevuelo.html	Bulerías
Todos mis hijos	http://canteytoque.es/letrasjoslerotodosmishijos.html	Que lo de menos era el quererte (bulerías por soleá)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Cómo reluce (caracoles)
Rancapino	http://canteytoque.es/letraspuroyjondorancapino.html	Fandangos
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	En el queré no hay locura (tangos)
Naturaleza flamenca (Quejío) 1	http://canteytoque.es/letrasmatronaquejio1.html	Siempre por los rincones (siguiriya de Manuel Molina)
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Quien tiene pena no duerme (tientos) Manuel Agujetas
"De Ronda a Málaga (Panda Poveda, P. Lavado y M. Chicano, A. Ranchal, Fosforito y A. Canillas)"	http://canteytoque.es/letrasritorondaamalaga.html	Zánganos de Puente Genil
"¡Flamenco! ""Marqués de Porrina"""	http://canteytoque.es/letrasporrina.html	Con Dios hablo (tientos)
"Las tonás (Talega, Mairena, Agujetas y Borrico, R. Romero y Menese)"	http://canteytoque.es/letrasritotonas.html	"Martinetes (tía Anica ""la Periñaca"")"
Grandes cantaores del flamenco	http://canteytoque.es/letrasturronero.html	A mí nones (bulerías)
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Peteneras. Jesús Heredia
Cultura Jonda 10. XV Potaje gitano de Utrera en directo (1971)	http://canteytoque.es/letrasvvxvpotajeutrera.html	Tientos y tangos. Gaspar de Utrera
Arte flamenco. Miguel Vargas / Chano Lobato	http://canteytoque.es/letrasvvmiguelvargaschano.html	Mira que yo no me creo (soleá de la Serneta) Miguel Vargas
Maestros del cante	http://canteytoque.es/letraschocolatemaestros.html	Cuando estás a mi vera (martinetes)
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Soleares. Pepe el de la Matrona
CD 11	http://canteytoque.es/letraspastora11.html	7. A la pobre madre mía (fandango)
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Fandangos de Huelva. Manolo Caracol
CD 11	http://canteytoque.es/letraspastora11.html	5. Hay quien jura que Granada (bulería)
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Grandes voces se escuchaban (alboreás)
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Bulerías
La Paquera de Jerez	http://canteytoque.es/letrasritopaquera.html	Fandangos
Ayer y hoy	http://canteytoque.es/letraschaqueton.html	El gallo que canta ronco (soleá)
Le chant du monde v. 20	http://canteytoque.es/letrastalegachant.html	En otro tiempo ha sido mío (soleares de Alcalá y de Mercé la Serneta)
Antología del cante flamenco (CD 1)	http://canteytoque.es/letrasantologiahispavox1.html	Alegrías. Pericón de Cádiz
Una historia del cante flamenco 1	http://canteytoque.es/letrascaracolhistoria1.html	Mujer malina (siguiriyas del Marruro)
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Que lo de menos era el quererte (bulerías por soleá)
Al compás de los Zambos	http://canteytoque.es/letrasvvfamiliazambo.html	A gusto la estoy llevando
disco 8	http://canteytoque.es/letrasvvantologiaariola8.html	Ni la luz del día (tonás) Antonio Mairena
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	Hombro con hombro (fandangos)
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	Fragancias de Punta Umbría (fandangos de Huelva) Paquera de Jerez
"La familia de los Torre (María Torre, Tomás Torre, Pájaro, Tomasa y Pichón)"	http://canteytoque.es/letrasritofamiliatorre.html	Soleares (Tomás Torre)
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	Que agua se ve en la bahía (tarantos)
Cátedra del cante vol. 14	http://canteytoque.es/letrasgloria.html	Por los rincones te encuentro (seguiriyas)
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Cuando salgo de la mina (tarantos) Antonio Nuñez el Chocolate
disco 10	http://canteytoque.es/letrasvvantologiaariola10.html	En unas excavaciones (tanguillos de Cádiz) Antonio Mairena
Antología del cante flamenco y cante gitano. CD 2	http://canteytoque.es/letrasvvantologiamairena2.html	Bulerías por soleá. Rosalía de Triana
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 1)"	http://canteytoque.es/letrasvvgrabacionesenparis1.html	Peteneras (Juan Varea)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Soy más duro que el acero (fandangos) Chiquito de Camas
Rancapino	http://canteytoque.es/letraspuroyjondorancapino.html	Malagueña de Enrique el Mellizo
Fiesta por tangos. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaportangos.html	Qué bonita está Triana. Melchora Ortega
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	Si a tu gente no quieres (granaína y media granaína)
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	Por lo mucho que te quiero (malagueñas del Mellizo)
Actuaciones históricas(CD1)	http://canteytoque.es/letrasmairenaact1.html	El día que en capilla (seguiriyas)
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	Mi potro se llama moro (colombiana por bulerías) Bernarda
Caminos reales del cante	http://canteytoque.es/letrasmercecaminosreales.html	Arroyito de agua clara (bulerías)
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Por qué me das tú de lado (fandangos) Juanito Villar
Pedro Lavado	http://canteytoque.es/letrasritopedrolavado.html	Temporera
Triana. Familia Montoya	http://canteytoque.es/letrasvvtrianafamiliamontoya.html	Pastora (bulerías)
"Arte flamenco. Juan Cantero / Roque Montoya ""Jarrito"""	http://canteytoque.es/letrasvvcanterojarrito.html	Y a la mina no voy más (tarantos) Juan Cantero
Tres generaciones. Agujetas CD 2 (Manuel y su hijo)	http://canteytoque.es/letrasvvtresgeneraciones2.html	Moritos a caballo (cabales) Manuel Agujetas
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Saeta. Ramón Moreno
Cultura Jonda 10. XV Potaje gitano de Utrera en directo (1971)	http://canteytoque.es/letrasvvxvpotajeutrera.html	Bulerías. Fernanda y Bernarda de Utrera
disco 4	http://canteytoque.es/letrasvvantologiaariola4.html	Descanso a mi cuerpo (siguiriyas) Diego Clavel
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Bulerías por soleá. Paquera de Jerez
Maestros del cante	http://canteytoque.es/letrasvarea.html	A una legua de Totana (taranta clásica)
Antología del cante flamenco (CD 1)	http://canteytoque.es/letrasantologiahispavox1.html	Tarantas. Niño de Almadén
disco 10	http://canteytoque.es/letrasvvantologiaariola10.html	Qué desgracia es la mía (siguiriyas) Tia Anica la Periñaca
CD 4	http://canteytoque.es/letrasantologiaorfeon4.html	Villancicos de Jerez. Rafael Romero
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Remedio para todos los males (fiesta por bulerías)
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Granaínas. Francisco Andrés Andrés
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	Compañera de mis carnes (soleá)
Pedro Lavado	http://canteytoque.es/letrasritopedrolavado.html	Zánganos de Puente Genil
Grandes cantaores del flamenco	http://canteytoque.es/letrasmairenagrandes.html	Me muero yo (siguiriyas de Triana)
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	Aunque pongas en tu puerta. Pericón de Cádiz
"¡Flamenco! ""Marqués de Porrina"""	http://canteytoque.es/letrasporrina.html	Pídeme que coja el sol (bulerías)
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Presentación por el profesor García Matos
El genio (Quejío) 1	http://canteytoque.es/letrascaracolquejio1.html	De Santiago y Santa Ana (siguiriyas de Manuel Torre)
Fernando de la Morena	http://canteytoque.es/letraspuroyjondofernandomorena.html	Soleá
Soy caminante	http://canteytoque.es/letrascamaronsoycaminante.html	"Me olvidaste, te olvidé (alegrías)"
Selección antológica V. 4	http://canteytoque.es/letrasfosforitoselec.html	A mí me dio la locura (javeras)
Chocolate	http://canteytoque.es/letrasritochocolate.html	Fandangos
Maestros del cante	http://canteytoque.es/letrasvarea.html	Están celosas (alegrías)
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	"Seguiriyas de Manuel Molina, Frasco el Colorado y cabal de Silverio"
Manolo Caracol (II)	http://canteytoque.es/letrasritocaracol2.html	Soleares
CD 2	http://canteytoque.es/letraspastora02.html	17. A mi madre la abandoné (tiento)
CD 3	http://canteytoque.es/letraspastora03.html	21. Estando de centinela (garrotín)
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	Yo dije que me echaría (soleares) Manuel Torre
Evocación a Terremoto. Manuel Morao y gitanos de Jerez	http://canteytoque.es/letrasvvevocacionaterremoto.html	Bulerías. Inés Bacán
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Pero quererte yo no. El Juanata
Le chant du monde v. 19	http://canteytoque.es/letrasperinacachant.html	En la casita de los pobres (tientos)
Castillo de arena	http://canteytoque.es/letrascamaroncastillodearena.html	De lo que yo soy para ti (fandangos)
CD 8	http://canteytoque.es/letraspastora08.html	13. No hayan perlas a millares (cartagenera)
"El vino y el flamenco (Pansequito, M. Vargas, C. Linares y Mairena)"	http://canteytoque.es/letrasritovino.html	Fandangos (Pansequito)
CD 12	http://canteytoque.es/letraspastora12.html	18. Válgame Dios compañerita (soleá)
Viejo cante jondo	http://canteytoque.es/letrasmagujetajondo.html	Fandangos en el bujío
Pessoa flamenco	http://canteytoque.es/letrasvicentesotopessoa.html	tientos - tangos
